,title,price,shop,comment number
0,"联想ThinkPad E15 2021款 酷睿版 英特尔酷睿i5/i7 轻薄
笔记本电脑
人脸识别 i5-1135G7 16G 512G 1SCD",5199,ThinkPad京东官方自营旗舰店,2000
1,"戴尔
笔记本电脑
dell灵越15-3501 15.6英寸高性能轻薄商务
笔记本电脑
(11代英特尔酷睿i5-1135G7 16G 512GSSD)",4279,戴尔京东自营官方旗舰店,20000
2,"笔记本电脑
轻薄超级本 学生网上课堂
电脑
远程办公本 得峰
电脑
超窄边框十代2021款J4125/12G内存 力荐M2高速SSD256G固态硬盘",1979,得峰旗舰店,50000
3,"联想ThinkPad E14 2021 居家办公本 酷睿版 英特尔酷睿i5 14英寸轻薄
笔记本
(i5-1135G7 16G 512G 100%sRGB)银",5499,ThinkPad京东自营旗舰店,50000
4,"戴尔DELL成就3400 14英寸轻薄性能商务全面屏
笔记本电脑
(11代i5-1135G7 16G 512G)一年上门+7x24远程服务",4379,戴尔京东自营官方旗舰店,20000
5,"联想小新Pro14 高性能轻薄本 14英寸全面屏
笔记本电脑
(8核R7-5800H 16G 512G 2.2K 低蓝光护眼屏 )标压锐龙版",5699,联想京东自营旗舰店,200000
6,"联想(Lenovo)拯救者Y7000P英特尔酷睿i7 15.6英寸游戏
笔记本电脑
(8核i7-10875H 16G 512G RTX2060 144Hz)灰",8269,联想京东自营旗舰店,200000
7,"联想ThinkPad 翼E14 Slim（21CD）十代酷睿i5 14英寸轻薄商务
笔记本电脑
i5-10210U 8G 512GB固态 2G独显 FHD AD面双金属 超窄边框",4799,ThinkPad上海授权专卖店,1000
8,"联想小新Air15轻薄本 英特尔酷睿i5 15.6英寸全面屏学生
笔记本电脑
(i5-1135G7 16G 512G MX450独 高色域)银",5499,联想京东自营旗舰店,200000
9,"京品电脑 联想小新Pro13 高性能轻薄本 13.3英寸全面屏学生
笔记本电脑
(i5-1135G7 16G 512G MX450 2.5K 高色域屏 )银",5699,联想京东自营旗舰店,200000
10,"华硕Redolbook14 英特尔酷睿i5 学生网课办公商务高性能轻薄
笔记本电脑
(i5-1135G7 16G 512G 锐炬显卡)高闪银",4499,华硕京东自营官方旗舰店,10000
11,"联想小新15 超轻薄
笔记本电脑
高色域全面屏 学生网课办公 设计师游戏本 八核锐龙R7-5700U 16G内存 512G固态 升级15.6英寸IPS全面屏【DC调光护眼无闪烁】",5488,联想华东授权专卖店,50000
12,"联想ThinkPad X1 Nano(1SCD) 英特尔Evo平台 13英寸轻薄
笔记本电脑
(十一代i5-1130G7 16G 512G 2K)",9499,ThinkPad京东自营旗舰店,20000
13,"京品电脑 惠普（HP）战66 三代AMD版14英寸轻薄
笔记本电脑
（锐龙7nm 八核R7-4700U 16G 512G 400尼特高色域 一年上门）",4699,惠普京东自营官方旗舰店,200000
14,"联想
笔记本电脑
ThinkBook 15 锐龙版 2021款 15.6英寸轻薄本 长续航 窄边框(R7 4800U 16G 512G 高色域)03CD",4799,ThinkPad京东自营旗舰店,20000
15,"联想小新Pro14高性能轻薄本英特尔Evo平台14英寸全面屏办公
笔记本电脑
(标压i5-11300H 16G 512G 2.2K护眼屏)",5499,联想京东自营旗舰店,200000
16,"戴尔DELL成就14-3400 14英寸轻薄性能商务全面屏
笔记本电脑
(11代i7-1165G7 16G 512G)一年上门+7x24远程服务",5079,戴尔京东自营官方旗舰店,5000
17,"联想YOGA14s轻薄商务本 英特尔Evo平台 14英寸全面屏
笔记本电脑
(标压i5-11300H 16G 512G 2.8K 90Hz高刷屏)",5999,联想京东自营旗舰店,50000
18,"华硕(ASUS) 飞行堡垒8 英特尔酷睿i5/i7 15.6英寸游戏
笔记本电脑
i5-10300H丨GTX1650丨144Hz 8G内存/512G固态/套餐一",5188,华硕智凝专卖店,5000
19,"RedmiBook 16 锐龙版 超轻薄 全面屏(8核R7-4700U 16G 512G 100% sRGB高色域)灰 手提
笔记本电脑
小米 红米",4499,小米京东自营旗舰店,100000
20,"联想(Lenovo)拯救者Y7000 英特尔酷睿i5 15.6英寸游戏
笔记本电脑
(i5-10200H 16G 512G GTX1650Ti 100%sRGB)",5899,联想京东自营旗舰店,200000
21,"联想ThinkPad E14 2021款 酷睿版 英特尔酷睿i7 14英寸轻薄
笔记本电脑
(i7-1165G7 16G 512G 100%sRGB)银",6399,ThinkPad京东自营旗舰店,5000
22,"联想小新AIR14 锐龙版R5六核 2021 高色域手提学生轻薄本办公商务超薄
笔记本电脑
游戏本 新锐定制丨R5-5500U 8G 512G固态",4149,联想华北授权专卖店,50000
23,"联想(Lenovo)小新Air14性能版轻薄本 英特尔酷睿i5 全面屏学生独显
笔记本电脑
(i5 16G 512G MX350 高色域)银",4999,联想京东自营旗舰店,200000
24,"雷神(ThundeRobot) 911Air星战三代 15.6英寸游戏
笔记本电脑
(十代八核i7-10870H 16G 512GSSD GTX1650)",6199,雷神京东自营官方旗舰店,20000
25,"京品电脑 联想(Lenovo)拯救者Y7000P 英特尔酷睿i7 15.6英寸游戏
笔记本电脑
(i7-10750H 16G 512G SSD GTX1650Ti 144Hz)",6999,联想京东自营旗舰店,200000
26,"荣耀
笔记本电脑
MagicBook 14 2021 14英寸全面屏/多屏协同/轻薄本(11代酷睿i5 1135G7 16G 512G 锐炬显卡)银",4899,荣耀京东自营旗舰店,20000
27,"荣耀MagicBook Pro 2020 16.1英寸全面屏轻薄
笔记本电脑
（十代酷睿i5 16G 512G MX350 100%sRGB）冰河银",4699,荣耀京东自营旗舰店,20000
28,"联想小新15新品锐龙版r5/r7高性能15.6英寸全面大屏设计办公学生网课游戏轻薄
笔记本电脑
标配八核R7-4800U/16G内存/ 512固态",5499,联想授权旗舰店,5000
29,"联想ThinkPad P15v 2020款(02CD)英特尔酷睿i7 15.6英寸工作站
笔记本
i7-10750H 16G 512G P620 4G专业显卡",7959,ThinkPad京东自营旗舰店,10000
